Ne IT 250 ms
Pixel	Wavelength	90% Bandwidth		Center Wavelength
1979	584.82	1.17	584.93
1994	587.73	5.82	587.85
2027	594.13	0.77	594.14
2042	597.04	-	597.16
2071	602.64	-	602651
2094	607.08	8.66	607.07
2105	609.19	1.93	609.22
2129	613.81	0.77-1.15	613.91
2140	615.92	9.99	614.81
2168	621.29	0.38	621.31
2193	626.08	0.38	626.22
2213	629.90	-	630.04
2229	632.95	0.38	633.00
2254	637.71	3.04	637.84
2264	639.61	1.14-1.52	639.73
2319	650.05	1.14	650.15
2333	652.69	4.73	652.75
2368	659.30	0.38	659.36
2410	667.20	0.38	667.27
2431	671.14	0.37	671.13
2544	692.22	0.37	692.28
2599	702.40	0.37	702.52
2676	716.57	0.73	716.59
2715	723.71	0.37	723.69
2820	742.80	0.36-0.72	742.95
 
