Ne IT 300 ms
Pixel	Wavelength	90% Bandwidth	Center Wavelength
1979	584.82	1.56	584.98
1994	587.73	5.82	587.89
2027	594.13	1.16	594.19
2043	597.23	-	597.20
2070	602.45	-	602.68
2094	607.08	8.85	607.11
2105	609.19	8.28	609.24
2129	613.81	1.15	613.96
2139	615.92	9.80	614.83
2168	621.29	0.77	621.36
2193	626.08	0.76	627.72
2213	629.90	20.04	630.11
2229	632.95	1.14	633.04
2254	637.71	3.23	639.06
2264	639.61	1.52	639.77
2319	650.05	1.51	650.21
2333	652.69	5.29	652.76
2368	659.30	0.38	659.41
2410	667.20	0.75	667.32
2430	670.95	6.19	671.18
2544	692.22	0.74	692.33
2599	704.40	0.74	702.56
2676	718.48	0.74	718.51
2714	723.53	0.37	723.73
2715	723.71	0.73	723.74
2820	742.80	0.72	743.00
 
