Ne IT 300 ms
Pixel	Wavelength	90% Bandwidth	Center Wavelength
1979	586.18	1.17	586.34
1994	589.11	5.65	589.26
2027	595.52	0.78	595.57
2043	598.63	-	598.57
2070	603.86	-	604.06
2094	608.51	8.69	608.50
2105	610.63	1.93	610.66
2129	615.26	1.16	615.37
2140	617.38	9.83	616.25
2168	622.77	0.38	622.80
2193	627.57	0.38	627.72
2213	631.41	19.92	631.56
2229	634.47	0.38	634.52
2254	639.25	3.05	639.39
2264	641.16	1.53	641.28
2319	651.63	1.14	651.74
2333	654.29	4.93	654.35
2368	660.92	0.38	660.99
2410	668.86	0.38	668.93
2430	672.82	5.65	672.81
2544	693.99	0.37	694.07
2599	704.23	0.37	704.35
2676	718.48	0.74	718.51
2714	725.47	0.37	725.64
2715	725.66	0.37	725.65
2820	744.86	0.73	745.03
 
